"test","p_value","rejected","seed","dgp","n","rep_ok","error_msg","scenario_id","scenario_lbl","sweep_type","sigma_tau","rep"
"high_low",0.00183548443879738,TRUE,1008,"null",200,TRUE,NA,1,"null","main",NA,8
"oob_2sided",0.000753574523538229,TRUE,1008,"null",200,TRUE,NA,1,"null","main",NA,8
"oob_1sided",0.999623212738231,FALSE,1008,"null",200,TRUE,NA,1,"null","main",NA,8
"seq_rate",0.871255925929134,FALSE,1009,"null",200,TRUE,NA,1,"null","main",NA,9
"calibration",0.999999999622852,FALSE,1009,"null",200,TRUE,NA,1,"null","main",NA,9
"high_low",2.18523493462667e-05,TRUE,1009,"null",200,TRUE,NA,1,"null","main",NA,9
"oob_2sided",1.75586228233486e-07,TRUE,1009,"null",200,TRUE,NA,1,"null","main",NA,9
"oob_1sided",0.999999912206886,FALSE,1009,"null",200,TRUE,NA,1,"null","main",NA,9
"seq_rate",0.559669425511273,FALSE,1010,"null",200,TRUE,NA,1,"null","main",NA,10
"calibration",0.99455022946671,FALSE,1010,"null",200,TRUE,NA,1,"null","main",NA,10
"high_low",0.359698447513014,FALSE,1010,"null",200,TRUE,NA,1,"null","main",NA,10
"oob_2sided",0.00472419820930618,TRUE,1010,"null",200,TRUE,NA,1,"null","main",NA,10
"oob_1sided",0.997637900895347,FALSE,1010,"null",200,TRUE,NA,1,"null","main",NA,10
"seq_rate",0.785054310938919,FALSE,1011,"null",200,TRUE,NA,1,"null","main",NA,11
"calibration",0.825952866254082,FALSE,1011,"null",200,TRUE,NA,1,"null","main",NA,11
"high_low",0.953189425551817,FALSE,1011,"null",200,TRUE,NA,1,"null","main",NA,11
"oob_2sided",0.156000737830963,FALSE,1011,"null",200,TRUE,NA,1,"null","main",NA,11
"oob_1sided",0.921999631084519,FALSE,1011,"null",200,TRUE,NA,1,"null","main",NA,11
"seq_rate",0.697383457351549,FALSE,1012,"null",200,TRUE,NA,1,"null","main",NA,12
"calibration",0.703126532161762,FALSE,1012,"null",200,TRUE,NA,1,"null","main",NA,12
"high_low",0.580502644676275,FALSE,1012,"null",200,TRUE,NA,1,"null","main",NA,12
"oob_2sided",0.555724782032868,FALSE,1012,"null",200,TRUE,NA,1,"null","main",NA,12
"oob_1sided",0.722137608983566,FALSE,1012,"null",200,TRUE,NA,1,"null","main",NA,12
"seq_rate",0.632462634659325,FALSE,1013,"null",200,TRUE,NA,1,"null","main",NA,13
"calibration",0.999845519763746,FALSE,1013,"null",200,TRUE,NA,1,"null","main",NA,13
"high_low",0.00333652951172361,TRUE,1013,"null",200,TRUE,NA,1,"null","main",NA,13
"oob_2sided",9.1628953332601e-05,TRUE,1013,"null",200,TRUE,NA,1,"null","main",NA,13
"oob_1sided",0.999954185523334,FALSE,1013,"null",200,TRUE,NA,1,"null","main",NA,13
"seq_rate",0.630249973010988,FALSE,1014,"null",200,TRUE,NA,1,"null","main",NA,14
"calibration",0.909921472322978,FALSE,1014,"null",200,TRUE,NA,1,"null","main",NA,14
"high_low",0.732776882081683,FALSE,1014,"null",200,TRUE,NA,1,"null","main",NA,14
"oob_2sided",0.383744700565284,FALSE,1014,"null",200,TRUE,NA,1,"null","main",NA,14
"oob_1sided",0.808127649717358,FALSE,1014,"null",200,TRUE,NA,1,"null","main",NA,14
"seq_rate",0.97856021394606,FALSE,1015,"null",200,TRUE,NA,1,"null","main",NA,15
"calibration",0.980445968060535,FALSE,1015,"null",200,TRUE,NA,1,"null","main",NA,15
"high_low",0.998743539799429,FALSE,1015,"null",200,TRUE,NA,1,"null","main",NA,15
"oob_2sided",0.0239081918373713,TRUE,1015,"null",200,TRUE,NA,1,"null","main",NA,15
"oob_1sided",0.988045904081314,FALSE,1015,"null",200,TRUE,NA,1,"null","main",NA,15
"seq_rate",0.316225365629202,FALSE,1016,"null",200,TRUE,NA,1,"null","main",NA,16
"calibration",0.999997849065934,FALSE,1016,"null",200,TRUE,NA,1,"null","main",NA,16
"high_low",1.82428460544101e-06,TRUE,1016,"null",200,TRUE,NA,1,"null","main",NA,16
"oob_2sided",1.33582740472243e-05,TRUE,1016,"null",200,TRUE,NA,1,"null","main",NA,16
"oob_1sided",0.999993320862976,FALSE,1016,"null",200,TRUE,NA,1,"null","main",NA,16
"seq_rate",0.572467209230293,FALSE,1017,"null",200,TRUE,NA,1,"null","main",NA,17
"calibration",0.999999537925821,FALSE,1017,"null",200,TRUE,NA,1,"null","main",NA,17
"high_low",4.56723894879333e-05,TRUE,1017,"null",200,TRUE,NA,1,"null","main",NA,17
"oob_2sided",1.02055488179616e-05,TRUE,1017,"null",200,TRUE,NA,1,"null","main",NA,17
"oob_1sided",0.999994897225591,FALSE,1017,"null",200,TRUE,NA,1,"null","main",NA,17
"seq_rate",0.88588148947641,FALSE,1018,"null",200,TRUE,NA,1,"null","main",NA,18
"calibration",0.713684501387382,FALSE,1018,"null",200,TRUE,NA,1,"null","main",NA,18
"high_low",0.28361861080507,FALSE,1018,"null",200,TRUE,NA,1,"null","main",NA,18
"oob_2sided",0.0435669405843657,TRUE,1018,"null",200,TRUE,NA,1,"null","main",NA,18
"oob_1sided",0.978216529707817,FALSE,1018,"null",200,TRUE,NA,1,"null","main",NA,18
"seq_rate",0.664363993577768,FALSE,1019,"null",200,TRUE,NA,1,"null","main",NA,19
"calibration",0.737166343900017,FALSE,1019,"null",200,TRUE,NA,1,"null","main",NA,19
"high_low",0.926116084500261,FALSE,1019,"null",200,TRUE,NA,1,"null","main",NA,19
"oob_2sided",0.276584056125964,FALSE,1019,"null",200,TRUE,NA,1,"null","main",NA,19
"oob_1sided",0.861707971937018,FALSE,1019,"null",200,TRUE,NA,1,"null","main",NA,19
"seq_rate",0.593013474423849,FALSE,1020,"null",200,TRUE,NA,1,"null","main",NA,20
"calibration",0.922268513527664,FALSE,1020,"null",200,TRUE,NA,1,"null","main",NA,20
"high_low",0.319031308269627,FALSE,1020,"null",200,TRUE,NA,1,"null","main",NA,20
"oob_2sided",0.114616835507732,FALSE,1020,"null",200,TRUE,NA,1,"null","main",NA,20
"oob_1sided",0.942691582246134,FALSE,1020,"null",200,TRUE,NA,1,"null","main",NA,20
"seq_rate",0.731332551930137,FALSE,2001,"null",300,TRUE,NA,2,"null","main",NA,1
"calibration",0.990094079642432,FALSE,2001,"null",300,TRUE,NA,2,"null","main",NA,1
"high_low",0.205521457028934,FALSE,2001,"null",300,TRUE,NA,2,"null","main",NA,1
"oob_2sided",0.00629806234558556,TRUE,2001,"null",300,TRUE,NA,2,"null","main",NA,1
"oob_1sided",0.996850968827207,FALSE,2001,"null",300,TRUE,NA,2,"null","main",NA,1
"seq_rate",0.903391669979018,FALSE,2002,"null",300,TRUE,NA,2,"null","main",NA,2
"calibration",0.973862766003837,FALSE,2002,"null",300,TRUE,NA,2,"null","main",NA,2
"high_low",0.486652041300558,FALSE,2002,"null",300,TRUE,NA,2,"null","main",NA,2
"oob_2sided",0.0834656004563541,FALSE,2002,"null",300,TRUE,NA,2,"null","main",NA,2
"oob_1sided",0.958267199771823,FALSE,2002,"null",300,TRUE,NA,2,"null","main",NA,2
"seq_rate",0.929128164671978,FALSE,2003,"null",300,TRUE,NA,2,"null","main",NA,3
"calibration",0.860964571372042,FALSE,2003,"null",300,TRUE,NA,2,"null","main",NA,3
"high_low",0.268795010530475,FALSE,2003,"null",300,TRUE,NA,2,"null","main",NA,3
"oob_2sided",0.0440168184908073,TRUE,2003,"null",300,TRUE,NA,2,"null","main",NA,3
"oob_1sided",0.977991590754596,FALSE,2003,"null",300,TRUE,NA,2,"null","main",NA,3
"seq_rate",0.830994828802194,FALSE,2004,"null",300,TRUE,NA,2,"null","main",NA,4
"calibration",0.999999984920858,FALSE,2004,"null",300,TRUE,NA,2,"null","main",NA,4
"high_low",3.77866831583097e-05,TRUE,2004,"null",300,TRUE,NA,2,"null","main",NA,4
"oob_2sided",1.29224877339683e-06,TRUE,2004,"null",300,TRUE,NA,2,"null","main",NA,4
"oob_1sided",0.999999353875613,FALSE,2004,"null",300,TRUE,NA,2,"null","main",NA,4
"seq_rate",0.675503808791381,FALSE,2005,"null",300,TRUE,NA,2,"null","main",NA,5
"calibration",0.999330290895598,FALSE,2005,"null",300,TRUE,NA,2,"null","main",NA,5
"high_low",0.0979458904582637,FALSE,2005,"null",300,TRUE,NA,2,"null","main",NA,5
"oob_2sided",0.00387885644583393,TRUE,2005,"null",300,TRUE,NA,2,"null","main",NA,5
"oob_1sided",0.998060571777083,FALSE,2005,"null",300,TRUE,NA,2,"null","main",NA,5
"seq_rate",0.16770334438566,FALSE,2006,"null",300,TRUE,NA,2,"null","main",NA,6
"calibration",0.14590505807083,FALSE,2006,"null",300,TRUE,NA,2,"null","main",NA,6
"high_low",0.847401338116308,FALSE,2006,"null",300,TRUE,NA,2,"null","main",NA,6
"oob_2sided",0.943979720890997,FALSE,2006,"null",300,TRUE,NA,2,"null","main",NA,6
"oob_1sided",0.471989860445499,FALSE,2006,"null",300,TRUE,NA,2,"null","main",NA,6
"seq_rate",0.927671883535378,FALSE,2007,"null",300,TRUE,NA,2,"null","main",NA,7
"calibration",0.979415291757394,FALSE,2007,"null",300,TRUE,NA,2,"null","main",NA,7
"high_low",0.180447006625686,FALSE,2007,"null",300,TRUE,NA,2,"null","main",NA,7
"oob_2sided",0.0895874233053622,FALSE,2007,"null",300,TRUE,NA,2,"null","main",NA,7
"oob_1sided",0.955206288347319,FALSE,2007,"null",300,TRUE,NA,2,"null","main",NA,7
"seq_rate",0.480744189863876,FALSE,2008,"null",300,TRUE,NA,2,"null","main",NA,8
"calibration",0.937900111163494,FALSE,2008,"null",300,TRUE,NA,2,"null","main",NA,8
"high_low",0.672412725648774,FALSE,2008,"null",300,TRUE,NA,2,"null","main",NA,8
"oob_2sided",0.274948783240791,FALSE,2008,"null",300,TRUE,NA,2,"null","main",NA,8
"oob_1sided",0.862525608379605,FALSE,2008,"null",300,TRUE,NA,2,"null","main",NA,8
"seq_rate",0.991387357934292,FALSE,2009,"null",300,TRUE,NA,2,"null","main",NA,9
"calibration",0.969345696566271,FALSE,2009,"null",300,TRUE,NA,2,"null","main",NA,9
"high_low",0.0711541639499009,FALSE,2009,"null",300,TRUE,NA,2,"null","main",NA,9
"oob_2sided",0.100397059659587,FALSE,2009,"null",300,TRUE,NA,2,"null","main",NA,9
"oob_1sided",0.949801470170207,FALSE,2009,"null",300,TRUE,NA,2,"null","main",NA,9
"seq_rate",0.827072463117533,FALSE,2010,"null",300,TRUE,NA,2,"null","main",NA,10
"calibration",0.987442448507051,FALSE,2010,"null",300,TRUE,NA,2,"null","main",NA,10
"high_low",0.0307680418276148,TRUE,2010,"null",300,TRUE,NA,2,"null","main",NA,10
"oob_2sided",0.0113592153148062,TRUE,2010,"null",300,TRUE,NA,2,"null","main",NA,10
"oob_1sided",0.994320392342597,FALSE,2010,"null",300,TRUE,NA,2,"null","main",NA,10
"seq_rate",0.862349391349323,FALSE,2011,"null",300,TRUE,NA,2,"null","main",NA,11
"calibration",0.988660416814904,FALSE,2011,"null",300,TRUE,NA,2,"null","main",NA,11
"high_low",0.0177745343194247,TRUE,2011,"null",300,TRUE,NA,2,"null","main",NA,11
"oob_2sided",0.0258108122599451,TRUE,2011,"null",300,TRUE,NA,2,"null","main",NA,11
"oob_1sided",0.987094593870027,FALSE,2011,"null",300,TRUE,NA,2,"null","main",NA,11
"seq_rate",0.983054866878183,FALSE,2012,"null",300,TRUE,NA,2,"null","main",NA,12
"calibration",0.664993796559371,FALSE,2012,"null",300,TRUE,NA,2,"null","main",NA,12
"high_low",0.949254948669085,FALSE,2012,"null",300,TRUE,NA,2,"null","main",NA,12
"oob_2sided",0.587910390113784,FALSE,2012,"null",300,TRUE,NA,2,"null","main",NA,12
"oob_1sided",0.293955195056892,FALSE,2012,"null",300,TRUE,NA,2,"null","main",NA,12
"seq_rate",0.874275312345321,FALSE,2013,"null",300,TRUE,NA,2,"null","main",NA,13
"calibration",0.289026352319604,FALSE,2013,"null",300,TRUE,NA,2,"null","main",NA,13
"high_low",0.0287551777985038,TRUE,2013,"null",300,TRUE,NA,2,"null","main",NA,13
"oob_2sided",0.992294008019855,FALSE,2013,"null",300,TRUE,NA,2,"null","main",NA,13
"oob_1sided",0.503852995990073,FALSE,2013,"null",300,TRUE,NA,2,"null","main",NA,13
"seq_rate",0.691886036267132,FALSE,2014,"null",300,TRUE,NA,2,"null","main",NA,14
"calibration",0.333505774722588,FALSE,2014,"null",300,TRUE,NA,2,"null","main",NA,14
"high_low",0.739165088318545,FALSE,2014,"null",300,TRUE,NA,2,"null","main",NA,14
"oob_2sided",0.75779641242942,FALSE,2014,"null",300,TRUE,NA,2,"null","main",NA,14
"oob_1sided",0.37889820621471,FALSE,2014,"null",300,TRUE,NA,2,"null","main",NA,14
"seq_rate",0.226362543091873,FALSE,2015,"null",300,TRUE,NA,2,"null","main",NA,15
"calibration",0.999824069553385,FALSE,2015,"null",300,TRUE,NA,2,"null","main",NA,15
"high_low",0.0136151124619534,TRUE,2015,"null",300,TRUE,NA,2,"null","main",NA,15
"oob_2sided",9.27907295145866e-05,TRUE,2015,"null",300,TRUE,NA,2,"null","main",NA,15
"oob_1sided",0.999953604635243,FALSE,2015,"null",300,TRUE,NA,2,"null","main",NA,15
"seq_rate",0.928309710841998,FALSE,2016,"null",300,TRUE,NA,2,"null","main",NA,16
"calibration",0.986926415417531,FALSE,2016,"null",300,TRUE,NA,2,"null","main",NA,16
"high_low",0.174365778996856,FALSE,2016,"null",300,TRUE,NA,2,"null","main",NA,16
"oob_2sided",0.230264714768997,FALSE,2016,"null",300,TRUE,NA,2,"null","main",NA,16
"oob_1sided",0.884867642615501,FALSE,2016,"null",300,TRUE,NA,2,"null","main",NA,16
"seq_rate",0.647306139486703,FALSE,2017,"null",300,TRUE,NA,2,"null","main",NA,17
"calibration",0.429879274190368,FALSE,2017,"null",300,TRUE,NA,2,"null","main",NA,17
"high_low",0.827925376551094,FALSE,2017,"null",300,TRUE,NA,2,"null","main",NA,17
"oob_2sided",0.478155459664377,FALSE,2017,"null",300,TRUE,NA,2,"null","main",NA,17
"oob_1sided",0.760922270167811,FALSE,2017,"null",300,TRUE,NA,2,"null","main",NA,17
"seq_rate",0.794343995876887,FALSE,2018,"null",300,TRUE,NA,2,"null","main",NA,18
"calibration",0.346963415717492,FALSE,2018,"null",300,TRUE,NA,2,"null","main",NA,18
"high_low",0.757842247928263,FALSE,2018,"null",300,TRUE,NA,2,"null","main",NA,18
"oob_2sided",0.409281783060377,FALSE,2018,"null",300,TRUE,NA,2,"null","main",NA,18
"oob_1sided",0.204640891530189,FALSE,2018,"null",300,TRUE,NA,2,"null","main",NA,18
"seq_rate",0.864987756463788,FALSE,2019,"null",300,TRUE,NA,2,"null","main",NA,19
"calibration",0.999606063318171,FALSE,2019,"null",300,TRUE,NA,2,"null","main",NA,19
"high_low",0.0372478342298756,TRUE,2019,"null",300,TRUE,NA,2,"null","main",NA,19
"oob_2sided",0.0550292518426914,FALSE,2019,"null",300,TRUE,NA,2,"null","main",NA,19
"oob_1sided",0.972485374078654,FALSE,2019,"null",300,TRUE,NA,2,"null","main",NA,19
"seq_rate",0.795615688760836,FALSE,2020,"null",300,TRUE,NA,2,"null","main",NA,20
"calibration",0.999144579306613,FALSE,2020,"null",300,TRUE,NA,2,"null","main",NA,20
"high_low",0.00998958053467327,TRUE,2020,"null",300,TRUE,NA,2,"null","main",NA,20
"oob_2sided",0.00224969305650434,TRUE,2020,"null",300,TRUE,NA,2,"null","main",NA,20
"oob_1sided",0.998875153471748,FALSE,2020,"null",300,TRUE,NA,2,"null","main",NA,20
"seq_rate",0.998378893157176,FALSE,3001,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,1
"calibration",0.976402475436292,FALSE,3001,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,1
"high_low",0.188566804998886,FALSE,3001,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,1
"oob_2sided",0.0588148437972023,FALSE,3001,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,1
"oob_1sided",0.970592578101399,FALSE,3001,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,1
"seq_rate",0.831484838560924,FALSE,3002,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,2
"calibration",0.99999886898456,FALSE,3002,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,2
"high_low",1.45871014856783e-05,TRUE,3002,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,2
"oob_2sided",0.000567019187615314,TRUE,3002,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,2
"oob_1sided",0.999716490406192,FALSE,3002,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,2
"seq_rate",0.380068824087495,FALSE,3003,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,3
"calibration",0.546332653161961,FALSE,3003,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,3
"high_low",0.976202253653051,FALSE,3003,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,3
"oob_2sided",0.776620884231622,FALSE,3003,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,3
"oob_1sided",0.611689557884189,FALSE,3003,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,3
"seq_rate",0.777971094723883,FALSE,3004,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,4
"calibration",0.963859622053202,FALSE,3004,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,4
"high_low",0.386172811508077,FALSE,3004,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,4
"oob_2sided",0.30123211994027,FALSE,3004,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,4
"oob_1sided",0.849383940029865,FALSE,3004,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,4
"seq_rate",0.615698280304477,FALSE,3005,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,5
"calibration",0.999988031085119,FALSE,3005,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,5
"high_low",0.00285134564243588,TRUE,3005,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,5
"oob_2sided",0.00252663818044959,TRUE,3005,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,5
"oob_1sided",0.998736680909775,FALSE,3005,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,5
"seq_rate",0.78571104008287,FALSE,3006,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,6
"calibration",0.99983040986519,FALSE,3006,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,6
"high_low",0.0319615796897411,TRUE,3006,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,6
"oob_2sided",0.0142854988776756,TRUE,3006,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,6
"oob_1sided",0.992857250561162,FALSE,3006,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,6
"seq_rate",0.809905303082628,FALSE,3007,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,7
"calibration",0.999575388970942,FALSE,3007,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,7
"high_low",0.184374155502085,FALSE,3007,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,7
"oob_2sided",0.143309843929176,FALSE,3007,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,7
"oob_1sided",0.928345078035412,FALSE,3007,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,7
"seq_rate",0.971789853371546,FALSE,3008,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,8
"calibration",0.998954291276436,FALSE,3008,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,8
"high_low",0.0498186235712143,TRUE,3008,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,8
"oob_2sided",0.113747793459653,FALSE,3008,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,8
"oob_1sided",0.943126103270174,FALSE,3008,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,8
"seq_rate",0.398193560151471,FALSE,3009,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,9
"calibration",0.999807022086207,FALSE,3009,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,9
"high_low",0.00018948528956231,TRUE,3009,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,9
"oob_2sided",0.0102870931835237,TRUE,3009,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,9
"oob_1sided",0.994856453408238,FALSE,3009,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,9
"seq_rate",0.419957243497482,FALSE,3010,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,10
"calibration",0.998185625771789,FALSE,3010,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,10
"high_low",0.0176276963464613,TRUE,3010,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,10
"oob_2sided",0.00908812366273093,TRUE,3010,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,10
"oob_1sided",0.995455938168635,FALSE,3010,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,10
"seq_rate",0.234891848250013,FALSE,3011,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,11
"calibration",0.999996570022703,FALSE,3011,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,11
"high_low",0.00546713781700409,TRUE,3011,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,11
"oob_2sided",3.80940792091494e-06,TRUE,3011,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,11
"oob_1sided",0.99999809529604,FALSE,3011,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,11
"seq_rate",0.843386871973001,FALSE,3012,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,12
"calibration",0.228861807220108,FALSE,3012,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,12
"high_low",0.465726547520983,FALSE,3012,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,12
"oob_2sided",0.98462366112712,FALSE,3012,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,12
"oob_1sided",0.49231183056356,FALSE,3012,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,12
"seq_rate",0.640488573732909,FALSE,3013,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,13
"calibration",0.868682055676987,FALSE,3013,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,13
"high_low",0.28508541651706,FALSE,3013,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,13
"oob_2sided",0.0718515233116722,FALSE,3013,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,13
"oob_1sided",0.964074238344164,FALSE,3013,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,13
"seq_rate",0.282906062287791,FALSE,3014,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,14
"calibration",0.49937867042736,FALSE,3014,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,14
"high_low",0.299941021206835,FALSE,3014,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,14
"oob_2sided",0.664576990843705,FALSE,3014,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,14
"oob_1sided",0.332288495421852,FALSE,3014,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,14
"seq_rate",0.789781854923779,FALSE,3015,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,15
"calibration",0.967835479562092,FALSE,3015,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,15
"high_low",0.142609391477623,FALSE,3015,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,15
"oob_2sided",0.0256032530502747,TRUE,3015,"nw1_s0.15",200,TRUE,NA,3,"nw1","main",0.15,15
